ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,3.0392,,,,,,,,,,,7e70d78e-fd2a-4e7d-a562-5f24f8b15817,18,,"[34.3, 10.8]",69208,0,,,,,2.220667,,Right Foot,,,"[17.2, 33.3]",,Ground Pass,,28.260572,,,,,Almuth Schult,10257.0,,,,,,,1,From Kick Off,Marina Hegering,25491.0,Left Center Back,2,Germany Women's,857,['ce57afa5-a489-49f2-9967-9c89f606b552'],10,,,,,,,,,,,,,,,,,,Germany Women's,857,00:00:10.674,Pass,
,,,,,,,,,,,,,,,,2.6105,,,,,,,,,,,862c808f-852a-4bd6-8c58-b7fdc476e7a6,21,,"[16.8, 33.9]",69208,0,,,,,0.20800269,,Right Foot,,,"[76.5, 46.5]",,High Pass,,61.015163,,,Incomplete,,Lea Schüller,25476.0,,,,,,,1,From Kick Off,Almuth Schult,10257.0,Goalkeeper,2,Germany Women's,857,"['9499d428-5436-480f-a76e-8939c6adf4d2', 'a2df3418-2a1e-4d81-88b0-2cd4e49570b8']",13,,,,,,,,,,,,,,,,,,Germany Women's,857,00:00:13.753,Pass,
,,,,,,,,,,,,,,,,1.796,,,,,,,,,,,a2df3418-2a1e-4d81-88b0-2cd4e49570b8,23,,"[43.6, 33.6]",69208,0,,,,,-0.7710451,,Head,,,"[64.8, 13.0]",,High Pass,,29.560108,,,,,Fridolina Rolfö,10215.0,,,,,,Recovery,1,From Kick Off,Linda Brigitta Sembrant,10230.0,Left Center Back,2,Germany Women's,857,"['0731036d-435a-4812-a5b8-8814539adafb', '862c808f-852a-4bd6-8c58-b7fdc476e7a6']",16,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:16.364,Pass,
,,,,,,,,,,,,,,,,1.222,,,,,,,,,,,3aaabd3e-21f6-4737-8ff1-bf3668117fe3,35,,"[50.6, 77.6]",69208,0,,,,,-3.0433187,,Right Foot,,,"[36.4, 76.2]",,Ground Pass,,14.268847,,,,,Sara Doorsoun-Khajeh,10261.0,,,,,,Free Kick,1,From Free Kick,Giulia Gwinn,25492.0,Right Back,3,Germany Women's,857,['76aefac4-f2c4-4c56-86a2-559ca7edf4b2'],31,,,,,,,,,,,,,,,,,,Germany Women's,857,00:00:31.193,Pass,
,,,,,,,,,,,,,,,,1.593592,,,,,,,,,,,ff1624a7-618a-4014-9482-8a006ba9dd78,38,,"[36.1, 76.4]",69208,0,,,,,-1.6650718,,Right Foot,,,"[32.8, 41.5]",,Ground Pass,,35.05567,,,,,Marina Hegering,25491.0,,,,,,,1,From Free Kick,Sara Doorsoun-Khajeh,10261.0,Right Center Back,3,Germany Women's,857,['ed748da2-e04a-4b91-b408-f0c1f15c91ce'],34,,,,,,,,,,,,,,,,,,Germany Women's,857,00:00:34.068,Pass,
,,,,,,,,,,,,,,,,2.195017,,,,,,,,,,,c122991c-0402-4df0-94c6-312137d7c822,41,,"[34.7, 39.6]",69208,0,,,,,-1.4006271,,Right Foot,,,"[40.8, 4.1]",,Ground Pass,,36.02027,,,,,Carolin Simon,10376.0,,,,,,,1,From Free Kick,Marina Hegering,25491.0,Left Center Back,3,Germany Women's,857,['0ebf86d5-f62d-4376-b106-fb9d204987dc'],37,,,,,,,,,,,,,,,,,,Germany Women's,857,00:00:37.141,Pass,
,,,,,,,,,,,,,,,,0.681553,,,,,,,,,,,9c6ff657-fc03-4e19-b9d3-e5ff4dc47f58,44,,"[41.2, 4.9]",69208,0,,,,,0.9212469,,Left Foot,,,"[53.2, 20.7]",,Ground Pass,,19.840363,,,,,Sara Däbritz,10263.0,,,,,,,1,From Free Kick,Carolin Simon,10376.0,Left Back,3,Germany Women's,857,['e226cfdd-2c7a-4b96-a51d-e002a966f584'],39,,,,,,,,,,,,,,,,,,Germany Women's,857,00:00:39.376,Pass,
,,,,,,,,,,,,,,,,2.041611,,,,,,,,,,,5d30025e-2be9-475b-aded-bea8f7e51c24,47,,"[53.2, 20.7]",69208,0,,,,,-0.74134314,,Left Foot,,,"[75.7, 0.1]",,Ground Pass,,30.505901,,,Out,,Linda Dallmann,10258.0,,,,,,,1,From Free Kick,Sara Däbritz,10263.0,Left Center Midfield,3,Germany Women's,857,['ba14ed79-32f2-48c8-9eb5-3291ff126c6e'],40,,,,,,,,,,,,,,,,,,Germany Women's,857,00:00:40.138,Pass,
,,,,,,,,,,,,,,,,1.4457,,,,,,,,,,,375bda33-24c1-40a3-b234-443b7dabf355,49,,"[47.4, 80.0]",69208,0,,,,,-0.42575106,,,,,"[64.6, 72.2]",,High Pass,,18.885973,,,,,Kosovare Asllani,10220.0,,,,,,Throw-in,1,From Throw In,Hanna Erica Maria Glas,24693.0,Right Back,4,Sweden Women's,858,['4bde54df-b51d-4159-bac8-c77726052ad4'],51,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:51.726,Pass,
,,,,,,,,,,,,,,,,1.76109,,,,,,,,,,,4f2233e0-92f8-473b-9191-bf7312415947,53,,"[62.1, 63.8]",69208,0,,,,,0.43756658,,Left Foot,,,"[85.4, 74.7]",,High Pass,,25.72353,,,,,Eva Sofia Jakobsson,13881.0,,,,,,,1,From Throw In,Kosovare Asllani,10220.0,Center Attacking Midfield,4,Sweden Women's,858,['788f2631-805a-45ca-9d65-1799c34dad58'],54,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:54.830,Pass,
,,,,,,,,,,,,,,,,1.283206,,,,,,,,,,,fabc9e27-1f3f-4eb8-aa6e-f30b86f9e28b,58,,"[31.9, 0.1]",69208,1,,,,,0.71208346,,,,,"[41.4, 8.3]",,Low Pass,,12.549502,,,,,Lina Magull,10259.0,,,,,,Throw-in,1,From Throw In,Carolin Simon,10376.0,Left Back,5,Germany Women's,857,['6380ed66-4e34-4d6d-872b-6a27598aff89'],2,,,,,,,,,,,,,,,,,,Germany Women's,857,00:01:02.530,Pass,
,,,,,,,,,,,,,,,,1.0584,,,,,,,,,,,9f59e664-1bb2-43e1-8934-e2f0bec17b3d,62,,"[34.5, 15.9]",69208,1,,,,,-2.1309178,,Left Foot,,,"[27.1, 4.1]",,Ground Pass,,13.928389,,,,,Carolin Simon,10376.0,,,,,,,1,From Throw In,Lina Magull,10259.0,Left Center Forward,5,Germany Women's,857,"['8fc305f3-8b66-4365-be81-1c3135547a48', '97571139-d62d-4f86-a9bf-5d3fb282a0c3']",4,,,,,,,,,,,,,,,,,,Germany Women's,857,00:01:04.533,Pass,True
,,,,,,,,,,,,,,,,1.4624,,,,,,,,,,,565119af-b15a-478e-ad78-e71c9b969863,65,,"[26.1, 3.5]",69208,1,,,,,1.0703555,,Left Foot,,,"[40.1, 29.1]",,Low Pass,,29.178074,,,,,Alexandra Popp,15178.0,,,,,,,1,From Throw In,Carolin Simon,10376.0,Left Back,5,Germany Women's,857,['f78614a4-e442-4674-9567-6202be374034'],5,,,,,,,,,,,,,,,,,,Germany Women's,857,00:01:05.672,Pass,
,,,,,,,,,,,,,,,,7.2672,,,,,,,,,,,b76627a1-7aa6-42db-8ea1-efa32f94a9e3,69,,"[41.4, 21.3]",69208,1,,,,,-0.13314773,,Left Foot,,,"[118.3, 11.0]",,High Pass,,77.58672,,,Incomplete,,,,,,,,,,1,From Throw In,Alexandra Popp,15178.0,Right Center Midfield,5,Germany Women's,857,['9b3df277-ec99-4ea7-bf97-7e646bda4ff6'],8,,,,,,,,,,,,,,,,,,Germany Women's,857,00:01:08.120,Pass,
,,,,,,,,,,,,,,,,3.8466,,,,,,,,,,,a47f2d4f-7ba3-4b46-9800-84805bb88218,72,,"[19.6, 44.9]",69208,1,,,,,-0.24642166,,Drop Kick,,,"[84.8, 28.5]",,High Pass,,67.23094,,,Incomplete,,Emma Stina Blackstenius,10229.0,,,,,,,1,From Throw In,Rut Hedvig Lindahl,4640.0,Goalkeeper,5,Germany Women's,857,"['820f013c-b60b-4c1e-9018-bf08497e0ba4', 'e53c5105-19e9-42eb-8793-79f308c619ff']",34,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:01:34.508,Pass,
,,,,,,,,,,,,,,,,2.1843,,,,,,,,,,,820f013c-b60b-4c1e-9018-bf08497e0ba4,74,,"[35.3, 51.6]",69208,1,,,,,0.10463924,,Head,,,"[57.2, 53.9]",,High Pass,,22.020445,,,,,Lina Magull,10259.0,,,,,,Recovery,1,From Throw In,Marina Hegering,25491.0,Left Center Back,5,Germany Women's,857,"['2b0fb844-9df4-43cb-a060-9b76174a0396', 'a47f2d4f-7ba3-4b46-9800-84805bb88218']",38,,,,,,,,,,,,,,,,,,Germany Women's,857,00:01:38.355,Pass,
,,,,,,,,,,,,,,,,1.395715,,,,,,,,,,,7ed8d1b5-18d5-4f64-8458-0cf84535bee5,76,,"[56.5, 54.3]",69208,1,,,,True,0.9244941,,,,,"[65.1, 65.7]",,Low Pass,,14.280056,,,Incomplete,,Svenja Huth,10374.0,,,,,,,1,From Throw In,Lina Magull,10259.0,Left Center Forward,5,Germany Women's,857,"['1a8e9ad0-603a-4583-a7e2-947772084ad3', '95592532-4a23-4dab-af7c-e20fb6840492', 'd38ddf02-7288-4caa-8f05-99ee0a6e211a']",40,,,,,,,,,,,,,,,,,,Germany Women's,857,00:01:40.619,Pass,True
,,,,,,,,,,,,,,,,1.9297,,,,,,,,,,,c59dade3-e1a0-42e4-b91a-f5bb03e4d6e4,81,,"[64.6, 8.8]",69208,1,,,,,0.021123618,,Left Foot,,,"[93.0, 9.4]",,High Pass,,28.406338,,,,,Emma Stina Blackstenius,10229.0,,,,,,,1,Regular Play,Magdalena Lilly Eriksson,4633.0,Left Back,6,Sweden Women's,858,['adc71726-f011-46da-b3fd-866a4d33ef75'],43,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:01:43.872,Pass,
,,,,,,,,,,,,,,,,1.300188,,,,,,,,,,,9974478e-dcd4-42ce-a373-de791e56401d,84,,"[86.3, 12.5]",69208,1,,,,,2.2189057,,Right Foot,,,"[73.2, 29.8]",,Ground Pass,,21.70023,,,,,Elin Ingrid Johanna Rubensson,10221.0,,,,,,,1,Regular Play,Emma Stina Blackstenius,10229.0,Center Forward,6,Sweden Women's,858,['ff58ae4e-4135-4829-bc07-780dab9eb866'],47,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:01:47.843,Pass,
,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,932c59b9-b782-4d49-b76d-c4bb585ff177,88,,"[72.6, 31.5]",69208,1,,,,,-1.6396528,,Right Foot,,,"[72.0, 22.8]",,Ground Pass,,8.720665,,,,,Sara Caroline Seger,10224.0,,,,,,,1,Regular Play,Elin Ingrid Johanna Rubensson,10221.0,Right Defensive Midfield,6,Sweden Women's,858,"['5ec436d3-6c45-4947-89a7-dbfb7a61b53a', 'f60fb59f-9bad-4d44-af26-9c34e8e23027']",49,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:01:49.805,Pass,True
,,,,,,,,,,,,,,,,0.8678,,,,,,,,,,,2b766d27-b995-4812-9664-b4db493d7c5a,91,,"[86.1, 16.7]",69208,1,,,,,-1.0303768,,Right Foot,,,"[94.5, 2.7]",,Ground Pass,,16.326666,,,,,Fridolina Rolfö,10215.0,,,,,,,1,Regular Play,Sara Caroline Seger,10224.0,Left Defensive Midfield,6,Sweden Women's,858,['b082a29b-380f-489c-9e94-aa8b241940e1'],54,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:01:54.310,Pass,
,,,,,,,,,,,,,,,,0.9335,,,,,,,,,,,2af78932-91a0-4e78-aead-360f5a5d1e91,94,,"[101.0, 3.9]",69208,1,,,,,1.0532237,,Left Foot,,,"[108.8, 17.6]",,Ground Pass,,15.764834,,,Incomplete,,Emma Stina Blackstenius,10229.0,,,,,,,1,Regular Play,Fridolina Rolfö,10215.0,Left Wing,6,Sweden Women's,858,"['60666d8d-fe37-4b84-aa4b-2c07c60cfb67', '67be0c44-6665-4929-baec-2fa3d2c97dd3']",57,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:01:57.441,Pass,
,,,,,,,,,,,,,,,,1.157591,,,,,,,,,,,6fe11d2b-2616-4f8c-8035-02d281e4348f,99,,"[8.2, 66.5]",69208,1,,,,,1.0813242,,Right Foot,,,"[13.9, 77.2]",,Ground Pass,,12.12353,,,,,Giulia Gwinn,25492.0,,,,,,,1,Regular Play,Sara Doorsoun-Khajeh,10261.0,Right Center Back,7,Germany Women's,857,"['c3456368-6375-41b9-868b-3f39c96e9213', 'd365908c-012b-4256-994e-0bf8387f69ab']",59,,,,,,,,,,,,,,,,,,Germany Women's,857,00:01:59.479,Pass,True
,,,,,,,,,,,,,,,,0.9838,,,,,,,,,,,b7d01602-7e57-47b9-b71c-114f4c6b38f4,102,,"[17.2, 76.6]",69208,2,,,,,-1.5894858,,Right Foot,,,"[17.0, 65.9]",,Ground Pass,,10.701869,,,,,Alexandra Popp,15178.0,,,,,,,1,Regular Play,Giulia Gwinn,25492.0,Right Back,7,Germany Women's,857,['3d0462ac-b69e-4dee-938c-c50f9825ebd3'],1,,,,,,,,,,,,,,,,,,Germany Women's,857,00:02:01.339,Pass,
,,,,,,,,,,,,,,,,1.4261,,,,,,,,,,,a49e32f2-a346-46af-80ba-a405a1dd83b0,106,,"[19.8, 61.5]",69208,2,,,,,-0.7380651,,Left Foot,,,"[39.7, 43.4]",,Ground Pass,,26.900187,,,,,Linda Dallmann,10258.0,,,,,,,1,Regular Play,Alexandra Popp,15178.0,Right Center Midfield,7,Germany Women's,857,"['937fa463-4bab-4d30-8d5a-e5cc6525fc85', 'fc1b0420-f34e-42e2-8596-79eccaeaaef2']",4,,,,,,,,,,,,,,,,,,Germany Women's,857,00:02:04.095,Pass,True
,,,,,,,,,,,,,,,,1.1091,,,,,,,,,,,0445939b-0d7d-4a80-91d5-57850752f83c,113,,"[78.1, 23.7]",69208,2,,,,,-1.5902114,,Right Foot,,,"[77.9, 13.4]",,Ground Pass,,10.301942,,,,,Fridolina Rolfö,10215.0,,,,,,,1,Regular Play,Hanna Erica Maria Glas,24693.0,Right Back,8,Sweden Women's,858,['f64ccbec-0b1a-4997-91a0-b020d15704fd'],8,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:02:08.748,Pass,
,,,,,,,,,,,,,,,,1.082725,,,,,,,,,,,648b10cc-6c02-44ce-8aee-229e66777f95,117,,"[74.5, 14.2]",69208,2,,,,,2.0887837,,Left Foot,,,"[69.2, 23.5]",,Ground Pass,,10.704205,,,,,Sara Caroline Seger,10224.0,,,,,,,1,Regular Play,Fridolina Rolfö,10215.0,Left Wing,8,Sweden Women's,858,['92346fbb-498c-4dc9-aa93-86e2217fbd07'],11,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:02:11.536,Pass,
,,,,,,,,,,,,,,,,0.655055,,,,,,,,,,,ef25798a-d759-43ed-b278-f1d16de822ea,120,,"[69.9, 24.9]",69208,2,,,,,1.3606137,,Right Foot,,,"[74.7, 47.4]",,Ground Pass,,23.006304,,,,,Elin Ingrid Johanna Rubensson,10221.0,,,,,,,1,Regular Play,Sara Caroline Seger,10224.0,Left Defensive Midfield,8,Sweden Women's,858,['88a86ad8-005a-4159-87bc-f6d1ab40633f'],14,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:02:14.097,Pass,
,,,,,,,,,,,,,,,,1.2906,,,,,,,,,,,d40a97c8-06ea-4857-bc13-777ccc3fd749,123,,"[78.5, 48.5]",69208,2,,,,,1.2227031,,Right Foot,,,"[87.1, 72.2]",,Ground Pass,,25.212101,,,,,Eva Sofia Jakobsson,13881.0,,,,,,,1,Regular Play,Elin Ingrid Johanna Rubensson,10221.0,Right Defensive Midfield,8,Sweden Women's,858,['445ba738-642d-46f8-aba5-dbd04b167cfe'],16,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:02:16.699,Pass,
,,,,,,,,,,,,,,,,0.947644,,,,,,,,,,,d6839efc-35e0-481c-a8cc-95670b648ca6,135,,"[69.0, 67.4]",69208,2,,True,,,-1.7041007,,Right Foot,,,"[65.5, 41.3]",,Ground Pass,,26.33363,,,,,Sara Caroline Seger,10224.0,,,,,,Free Kick,1,From Free Kick,Nilla Fischer,10375.0,Right Center Back,9,Sweden Women's,858,['0f1c07fb-c230-428f-a1ab-04a0f5508f80'],37,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:02:37.987,Pass,
,,,,,,,,,,,,,,,,1.0988,,,,,,,,,,,1147566f-64e6-4e5a-b6a4-54f39c30f281,137,,"[69.0, 44.3]",69208,2,,,,,-0.7294095,,Right Foot,,,"[86.9, 28.3]",,Ground Pass,,24.00854,,,,,Emma Stina Blackstenius,10229.0,,,,,,,1,From Free Kick,Sara Caroline Seger,10224.0,Left Defensive Midfield,9,Sweden Women's,858,['2e745315-1adf-4873-80e4-8c526229b70b'],39,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:02:39.726,Pass,
,,,,,,,,,,,,,,,,0.5652,,,,,,,,,,,bd3adb29-74c9-400a-b891-d344f03aa0bc,140,,"[84.6, 28.3]",69208,2,,,,,2.1397796,,Right Foot,,,"[79.1, 36.9]",,Ground Pass,,10.20833,,,,,Kosovare Asllani,10220.0,,,,,,,1,From Free Kick,Emma Stina Blackstenius,10229.0,Center Forward,9,Sweden Women's,858,['977e7414-42b0-46a0-b7c5-ac0b2df441ba'],40,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:02:40.944,Pass,
,,,,,,,,,,,,,,,,2.110272,,,,,,,,,,,8b6233c0-574d-40ba-8697-bf416a58a697,144,,"[78.9, 33.1]",69208,2,,,,,-2.166503,,Right Foot,,,"[68.8, 18.2]",,Ground Pass,,18.000555,,,,,Linda Brigitta Sembrant,10230.0,,,,,,,1,From Free Kick,Kosovare Asllani,10220.0,Center Attacking Midfield,9,Sweden Women's,858,['df026c6f-5eb7-4663-a159-19e94a07e26b'],42,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:02:42.620,Pass,
